standard_text,dialect_text,dialect
অনেক সময় পর আপনাকে দেখছি,মেলা সময় বাদে আফনেরে দেখতাসি,Mymensingh
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দুই ভাইয়ের মধ্যে জায়গা জমি লয়া ঝগড়া হয়,Mymensingh
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,বাদে এক ভাই কুয়েত যায়গা আরেক ভাই সুদান যায়গা,Mymensingh
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,কয়েকদিন বাদে সুদান ফিরত বেডাটা বিয়া করে,Mymensingh
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","মুবাইল ছাড়া লেট্রিনে গেলে, লাগে যে জরুরি ফাইল ছাড়া অফিসে বয়া আসি",Mymensingh
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যারার গালি দেওয়ন হয়া গেসে তারা দয়া কইরা লাইনেরতন সইরা যান,Mymensingh
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,পিছনে এহনো অনেক মানুষ লাইনে খারায়া আসে,Mymensingh
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,হেরারে গালি দেওনের সুযোগ কইরা দেন,Mymensingh
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,খুব বেশি কিসু কইতাম না কারন আবেগে চোখে পানি চইলা আইসে,Mymensingh
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুমি কইসো যেয় থাকার হেয় এমনেই থাকব,Mymensingh
প্রথমে আপনাকে একটি দোকানে যেতে হবে,প্রথমে আফনারে একটা দোকানে যাইতে হইব,Mymensingh
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিজের পছন্দের বিয়াতে বাপ মা রে রাজি করান হইল,Mymensingh
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,ছেড়িডা লাল শাড়ী পইরা খারায়া আসে,Mymensingh
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বইয়ের লাইজ্ঞা আর বন্ধুগর মাঝখানে মুখ দেহানুর উপায় নাই,Mymensingh
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমারে বেকগের সামনে মারতে মারতে বাসায় নিয়া আইসে,Mymensingh
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,আমি জানি এইহানে অনেক ছেড়ি কমেন্ট পড়তে আইব,Mymensingh
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাঝে মাঝে লাগে ঘরবাড়ী বেক মশার নামে লেইখখা দিয়া আমি জংগলে চইল্লা যাইগা,Mymensingh
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","তোমার হয়া আসি আমি, তোমার হয়াই থাকবাম",Mymensingh
সারা জীবন তোমায় আমি ভালবেসে যাবো,সারাজীবন তোমায় আমি ভালোবাইসা যামু,Mymensingh
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","পাশে থাইক্কো সারাজীবন, দূরে যাইয়ো না",Mymensingh
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তোমারে ছাড়া একটুও আমার ভালালাগেনা,Mymensingh
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","কাউরে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও।",Mymensingh
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,কারন আবেগের ভালোবাসা একদিন বিবেকের কাসে হাইরা যাইব,Mymensingh
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কিতা কইরা বুঝামু তারে আমি কতডা ভালোবাসি?,Mymensingh
অনেক দিন পর তোমাকে দেখলাম,অনেকদিন বাদে তোমারে দেখলাম,Mymensingh
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তোমারে দেইখখা তাক লাইজ্ঞা খারায়া আসিলাম,Mymensingh
আমি খুব কষ্টে নিজেকে সামলে নিলাম,আমি মেলা কষ্টে নিজেরে সামলায়া নিলাম,Mymensingh
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যখন তুমি আমারে দেইখখা না দেহার ভান করসো তহন আমার দারুন লাগসে,Mymensingh
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তোমারে আমি সেই অনুভুতির কথা কিয়া বুঝাইতে পারতাম না,Mymensingh
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,তোমাকে মেলা মনে পরতাসে দিমু তোমারে লাল গোলাপ,Mymensingh
আমার জীবনে কেউ নেই তুমি ছাড়া,আমার জীবনে কেউ নাই তুমি ছাড়া,Mymensingh
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,আমার জীবনে কোন স্বপ্ন নাই তুমি ছাড়া,Mymensingh
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,আমার দুই চোখ কিসু খুজেনা তোমারে ছাড়া,Mymensingh
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যখন ছেড়ি বুঝে তখন ছেড়াবুঝেনা !,Mymensingh
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুমি খালি মনে রাইখখো আমারে সারাবেলা,Mymensingh
চোখের কান্না মুছে  দেব তোমায় হাসি,চোক্ষের কান্দনে মুইচ্ছা দিমু তোমার হাসি,Mymensingh
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,তাইতো আমি বন্ধু তোমারে এত ভালবাসি,Mymensingh
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","কত্ত সুন্দর তুমি, প্রেমে পড়সি আমি",Mymensingh
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,ছেড়ারা ভালোবাসার অভিনয় করতে করতে যে কহন সত্যি সত্যি ভালোবাইসা ফালায় তারা তা নিজেও কইতে ফারেনা,Mymensingh
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,ছেড়িরা সত্যিকার ভালোবাসতে বাসতে যে কহন অভিনয় শুরু কইরা দেয় হেরা তা নিজেরাও কইতে ফারেনা,Mymensingh
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,এই দুনিয়াতে প্রিয় মানুষগুলোরে ছাড়া বাইচ্চা থাকাটা কষ্টকর কিন্তু অসম্ভব কিসু না,Mymensingh
কারো জন্য কারো জীবন থেমে থাকে না,কারো লাইজ্ঞা কারো জীবন থাইম্মা থাকে না,Mymensingh
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,কাউরে প্রচন্ডভাবে ভালবাসার মধ্যে এক জাতের দুর্বলতা আছে,Mymensingh
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","ছেড়া আর ছেড়ি বন্ধু হইতে ফারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে",Mymensingh
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,ছেড়ারার লাইজ্ঞা দুনিয়াতে সবচে দামি হইল ছেড়িরার হাসি,Mymensingh
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তোমারে দুইচোখ ভইর দেহা এখহনো বাকি,Mymensingh
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তোমারে কাসে আইসা জড়ায়া ধরা বাকি,Mymensingh
আমার অনেক ঠাণ্ডা লাগছে,আমার মেলা ঠাণ্ডা লাগতাসে,Mymensingh
আমার মন খারাপ,আমার মন খারাপ,Mymensingh
আপনার কি মন খারাপ ?,আফনের কিতা মন খারাপ?,Mymensingh
তোমার  কি মন খারাপ ?,তোমার কিতা মন খারাপ?,Mymensingh
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বা আমার লাইজ্ঞা লাল জামা কিন্না আনসে,Mymensingh
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,আমার বন্ধু আমারে লাল শাড়ি কিন্না দিসে,Mymensingh
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,আমার বন্ধু আমারে একটা লাল গোলাপ কিন্না দিসে,Mymensingh
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,আমার আম্মা আমারে নিয়া পার্কে ঘুরতে যাইব,Mymensingh
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","যে ভালবাসা যত গোপন, হেই ভালবাসা তত গভীর",Mymensingh
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,ভালোবাসা পাওনের চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,Mymensingh
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","তুমি যদি কাউরে ভালোবাসো,তবে তাকে ছাইড়া দেও",Mymensingh
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","যদি হেয় তোমার কাছে ফিরা আসে,তবে হেয় তোমারই আসিল",Mymensingh
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","আর যদি ফিরা না আসে,তবে সে কখনই তোমার ছিল না",Mymensingh
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে","যখন কোন বেডা কোন বেডিরে ভালবাসে,তহন হেয় তার জন্য সব কিসুই করতে পারে",Mymensingh
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,মুহে মুহে বেগসময় ভালোবাসি ভালোবাসি কওয়ার চেয়ে আমার মনে হয় ভালোবাসার মানুষটারে বুঝতে পারা অনেক বড় ব্যাপার,Mymensingh
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,ভালোবাসা মানে একজন আরেকজনরে বুঝতে পারা,Mymensingh
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,আমি যেই মানুষটারে ভালোবাসমু তারে যদি না বুঝতে পারি তাইলে এই প্রেমের কোনো অর্থ আছে বইলা মনে হয় না,Mymensingh
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অসুখী হইয়া অন্যরে ভালোবাইসা সুখী করান যায়না,Mymensingh
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,কেউ আফনের জীবনে সুখ আইন্না দিব ভাইব্বা কারো সাথে প্রেমে জড়াইয়েন না,Mymensingh
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,আফনে কারো জীবনে সুখ আইন্না দিবেন ভাইব্বা প্রেম করেন,Mymensingh
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না","সত্যিকারের ভালোবাসা খালি ভালোবাসার মানুষটারে সুখী করতে চায়, হের থাইক্কা কোনো প্রতিদান আশা করে না",Mymensingh
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,ভালবাসা মানে কাউরে জয় করা না বরং নিজেই কারো লাইজ্ঞা হাইরা যাওয়া,Mymensingh
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,আফনে কহনোই ফারবেন না অন্য কারও ভালোবাসারে ছিনায়া নিতে কিংবা জোর কইরা অন্যের ভালো লাগার মানুষ হইতে,Mymensingh
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চোক্ষের সামনে যারারে দেখছেন তারারে কালকে সকালে আর দেখতে ফাইবেন কিনা তার কোনও নিশ্চয়তা নাই,Mymensingh
ভালো লাগে তোমার ওই কাজল কালো চোখ,ভালা লাগে তোমার ওই কাজল কালা চোখ,Mymensingh
তোমার মনের কথা আজ আমাকে খুলে বলো,তোমার মনের কথা আইজ আমারে খুইল্লা কও,Mymensingh
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না",Mymensingh
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিয়াম আমি তোমার হাতে,Mymensingh
এই মন আজ তোমায় দিলাম,এই মন আইজ তোমারে দিলাম,Mymensingh
তোমার ওই মন আমি নিয়ে নিলাম,তোমার হেই মন আমি নিয়া নিলাম,Mymensingh
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,হাজার কথার মাঝে একটা মনের কথা লুকায়া থাকে,Mymensingh
সব কথা মুখে বলে দেওয়া যায়না,সব কথা মুহে কয়া দেওয়া যায়না,Mymensingh
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,হাজার কথার মাঝে ওই একটা কথা বুইজ্ঝা লইতে হয়,Mymensingh
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাইচ্চা থাকি তোমারে মনে রাখবাম,Mymensingh
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ","যত কষ্ট হোক বেগতা মাইন্না নিয়াম,তাও চিরদিন তোমারেই ভালাবাসবাম ",Mymensingh
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ","দেহো ,কত্ত সুন্দর মিষ্টি চাঁন্দের মিষ্টি আলো ",Mymensingh
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ","ফুলে ফুলে সাজায়া রাখছি আমার এই মন, তুমি আসলে দুইজন মিল্লা সাজায়াম জীবন ",Mymensingh
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,পড়াশোনা কইরা কিতা হইব যদি তোমারেই না পাওয়ন যায়,Mymensingh
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,ছেড়িরার পোস্ট হইতাসে মাছের বাজার বেজ্ঞে আইয়া ভিড় জমায়,Mymensingh
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,ছেড়ারার পোস্ট হইতাসে সোনার দোকান তাই খুব কম মানুষই এহানে আহে,Mymensingh
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে","প্রতিদিন ঘুমায়া পড়ার আগে ভাবি যাই হোক, বিয়া করার আরেকটা দিন আগাইয়া গেসে",Mymensingh
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল","বিয়াতে ছেড়া পক্ষ দাবি করছিল দুইটা সোনার জিনিস চাই, ছেড়ি পক্ষ তাতেই রাজি হইয়া গেল",Mymensingh
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,বর্তমানে প্রেম হীন মানুষ খুঁইজ্জা পাওয়াডা কষ্টকর,Mymensingh
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিষ্টি হাইসসা কথা কইয়া পাগল কইরা দিসে,Mymensingh
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তোমায় লইয়া হারায়া যায়াম আকাশের নীলে,Mymensingh
চলোনা কিছু না মেনে ভালোবাসি,চলোনা কিচ্ছু না মাইন্না ভালোবাসি,Mymensingh
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,চলো দুইজনে মিল্লা সুখের দুনিয়া সাজাই,Mymensingh
তোমাকে নিয়ে আমার সব কল্পনা,তোমারে নিয়া আমার সব কল্পনা,Mymensingh
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তোমারে হৃদয়ে রাখবাম সারাক্ষণ,Mymensingh
তুমি যদি চাও বৃষ্টি হবে আজ,তুমি যদি চাও বৃষ্টি হইব আইজ,Mymensingh
চল দুজনে হাত ধরে হারাবো,চল দুইজনে হাত ধইরা হারায়াম,Mymensingh
তোমাকে ছুয়ে দিতে চাই অনুমতি,তোমারে ছুয়া দিতে চাই অনুমতি,Mymensingh
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,এই ছবির প্রত্যেকটা গান অনেক অনেক প্রিয় আসিল আর এহনো আছে,Mymensingh
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়","সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হাইরা যায়",Mymensingh
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,এই হেই সোনালী যুগের হেই প্রাচীন গান যেই গান হুনলে বুকটা ভইরা যায়,Mymensingh
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে","যতবার দেহি ততবার ভালা লাগে, মৌসুমিরে গানডাতে অসম্ভব সুন্দর লাগতাসে",Mymensingh
এখনো ভালো লাগে গানটা,এহনো ভালা লাগে গানডা,Mymensingh
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,কালা আর লাল শাড়িতে মৌসুমী আপু রে অসম্ভব সুন্দরী লাগে,Mymensingh
