standard_text,dialect_text,dialect
অনেক দিন পর তোমাকে দেখলাম,বউতদিন ফর তোঁয়ারে দেইলাম,Chittagong
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তোঁয়ারে দেহি দর অই তিয়ায় আচিলাম,Chittagong
আমি খুব কষ্টে নিজেকে সামলে নিলাম,আঁই বড় হস্টে নিযেরে চঅঁলাই লইয়্যি,Chittagong
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যেত্তে তুঁই আঁরে দেহিয়েরেও না দেহার বান গইরগো এত্তে আত্তুন এন গম লাইজ্ঞে,Chittagong
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তোঁয়ারে অনুবুতি ইয়ান হইয়েরে বুজাইত ন ফাইরগম,Chittagong
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,"তোঁয়ারে কুব মনোত ফরের, দিয়্যুম তোঁয়ারে লাল গোলাপ",Chittagong
আমার জীবনে কেউ নেই তুমি ছাড়া,আঁর জিবনত হনিক্কাই নাই তুঁই চারা,Chittagong
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,আঁর জিবনত হনো সফ্ন নাই তুঁই চারা,Chittagong
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,আঁর দুচোক কিচু ন তুয়াই তোয়াঁরে চারা,Chittagong
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যেত্তে মাইয়্যা বুযে এত্তে ফোয়া ন বুযে,Chittagong
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুঁই শুদু মনে রাইক্কো আঁরে সারা বেলা,Chittagong
চোখের কান্না মুছে  দেব তোমায় হাসি,চোকর ফানি মুচি দিয়্যুম তোঁয়ারে আসি,Chittagong
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,এতেল্লাই ত বন্দু তোঁয়ারে এত বালবাসি,Chittagong
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","হত সুন্দর তুঁই, ফ্রেম অত ফইরগি আঁই",Chittagong
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,ফোয়াওক্কল বালবাসার অবিনয় গইরতে গইরতে হত্তে যে আঁচা আঁচা বালবাসি ফেলাই ইতারা নিজেরাও হইত ন ফারে,Chittagong
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,মাইফোয়াওক্কল বালবাইসতে বাইস্তে হত্তে যে অবিনয় শুরু গরে ইতারা নিজেরাও হইত ন ফারে,Chittagong
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,এই ফিতিবিত ফ্রিয় মানুষওন চারা বাচি তাহা হস্টগর কিন্তু অসম্বব নয়,Chittagong
কারো জন্য কারো জীবন থেমে থাকে না,হনিকার লাই হনিকার জিবন তিয়াই ন তাকে,Chittagong
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,হনিকারে প্রচন্ডভাবে বালবাসার মাযে এক দরনঅর দুর্বলতা আচে,Chittagong
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে",ফোয়া আর মাইফোয়া বন্দু অইত ফারে কিন্তু ইতারা এক সময় অবশ্যই একজন আরেকজন অর ফ্রেমঅত ফরিবো,Chittagong
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,ফোয়াওক্কল অর লাই ফিতিবিত বেজ্ঞুনরতুন বেরা মুল্যবান অইলদি মাইফোয়াঅক্কলর আসি,Chittagong
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তোঁয়ারে দুইচোক বরি দেহা আইযো বাকি,Chittagong
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তোঁয়ারে হাঁচে আই বেরাই দরা আইযো বাকি,Chittagong
আমার অনেক ঠাণ্ডা লাগছে,আঁর বউত টান্ডা লাগের,Chittagong
আমার মন খারাপ,আঁর মন হারাফ,Chittagong
আপনার কি মন খারাপ ?,অনর কি মন হারাফ নে,Chittagong
তোমার  কি মন খারাপ ?,তোঁয়ার কি মন হারাফ নে,Chittagong
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বু আঁর লাই লাল হঅর কিনি আইন্নে,Chittagong
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,আঁর বন্দু আঁরে এক্কান লাল শারি কিনি দিয়্যে,Chittagong
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,আঁর বন্দু আঁরে ওজ্ঞা লাল গোলাপ কিনি দিয়্যে,Chittagong
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,আঁর আম্মু আঁরে লই ফার্ক অত বেরাইতো যাইবো,Chittagong
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর",বালবাসা যিয়ান যত গোফন অই বালাবাসা ইয়ান তত গবীর,Chittagong
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,বালবাসা ফাইবারতুন বরা বালবাসা দিয়ায় বেশি আনন্দ,Chittagong
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও",তুঁই যদি হনিকারে বালবাসো তইলে ইতারে চারি দ,Chittagong
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল",যদি ইতে তোঁয়ার হাচে ফিরি আয়্যিয়ে তইলে ইতে তোঁয়ারই আচিল,Chittagong
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না",আর যদি ফিরি ন আইয়্যে তইলে ইতে হন অত্তে তোঁয়ার ন আচিল,Chittagong
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",যেত্তে হনো ফুরুষ হনো নারিরে বালবাসে এত্তে ইতে ইবার লাই বেজ্ঞিন গরিত ফারে,Chittagong
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,মুকে মুকে এগাযা বালবাসি বালবাসি হওয়ারতুন বেরা আঁর মনো অয় বালবাসার মানুষ্যারে বুজিত ফারা আন বউত বর বেফার,Chittagong
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,বালবাসা মানে একজন আরেকজন অরে বুজিত ফারা,Chittagong
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,আঁই যে মানুষ্যারে বালবাইসসম ইতারে যদি বুজিত ন ফারি তইলে এই ফ্রেমর হনো অর্ত আচে বলি মনে ন অয়,Chittagong
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অসুকি অয় অন্যরে বালবাসি সুকি গরা ন যায়,Chittagong
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,হনিকাই অনর জিবন অত সুক আনি দিবো বাবি হনিকার লই ফ্রেমত ন জরাইবান,Chittagong
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,অনে হনিজার জিবন অত সুক আনি দিবান বাবি ফ্রেম গরন,Chittagong
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না",সত্যিকারওর বালবাসা শুদু বালবাসার মানুষ্যারে সুকি গইরতো চায় তাত্তুন হনো ফ্রতিফান আশা ন গরে,Chittagong
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,বালবাসা মানি হনিকারে জয় গরা নয় বরং নিজেই হনিকার লাই আরি জন,Chittagong
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,অনে হনোঅত্তে ন ফারিবান অন্য হনিকার বালবাসারে চিনায় লইত কিনবা জোর গরি অন্যর বাল লাগার মানুষ অইত,Chittagong
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চোকর চাম্মে যারারে দেহন তারারে আগামি হালিয়া দেহিবান কিনা তারও হনো নিচ্চয়তা নেই,Chittagong
ভালো লাগে তোমার ওই কাজল কালো চোখ,গম লাগে তোঁয়ার অই হাজল হালো চোক,Chittagong
তোমার মনের কথা আজ আমাকে খুলে বলো,তোঁয়ার মনোর হতা আযিয়া আঁরে কুল হ,Chittagong
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","আঁর আত্তান দরি সাম্ম্র ফতঅত আগায় চলো, ফিচন ফিরি আর আঁরা ন চাইয়্যুম",Chittagong
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিয়্যুম আঁই তোয়াঁর আতত,Chittagong
এই মন আজ তোমায় দিলাম,এই মন আজিয়া আঁই তোয়াঁরে দিলাম,Chittagong
তোমার ওই মন আমি নিয়ে নিলাম,তোঁয়ার অই মন আঁই লই লইলাম,Chittagong
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,আযার হতার মাযে এক্কান মন অর হতা লুকায় তাকে,Chittagong
সব কথা মুখে বলে দেওয়া যায়না,বেজ্ঞিন হতা মুকে হওয়া ন যাই,Chittagong
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,আযার হতার মাযে অই এক্কান হতা বুযি ল ফরে,Chittagong
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাচি তাইক্কম তোঁয়ারে মনত রাইক্কম,Chittagong
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ",যত হস্ট ওক মানি লইয়্যুম তারফরও আযিবন তোঁয়ারেই বালবাইসসম,Chittagong
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ","চ, কি সুন্দর মিস্টি চাঁদর মিস্টি আলো",Chittagong
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ",ফুলে ফুলে সাযাই রাইক্কি আঁর এ মন তুঁতুঁই আইলে দুইযন মিলি সাজাইয়্যুম এ জিবন,Chittagong
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,ফরাশোনা গরি কি অইব্যদি তোঁয়ারেই ফা ন যাই,Chittagong
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,"মাইফোয়া অক্কলর ফোস্ট অইলদি মাচর বাযারর নান, বেজ্ঞুন আই বির যমায়",Chittagong
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,"ফোয়া অক্কলর ফোস্ট অইলদি সোমার দোয়ান ওর নান,বর হম মানুষই আইয়্যে",Chittagong
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে","ফত্তিন গুম যাইবর আগে চিন্তা গরি, যাইওক বিয়া গরিবার আরেক্কান দিন আগাইয়্যে",Chittagong
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল","বিয়াত মাযে ফোয়ার ফক্কত্তুন দাবি গইরগে দুইয়্যান সোনার জিনিস চাই, মাইফোয়া ফক্ক ইয়ানতই রাজি অ গেয়্যুই",Chittagong
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,বর্তমান অত ফ্রেমহীন মানুষ তোয়াই ফঅন হস্টগর,Chittagong
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিডা আসি হতা হয় ফঅল গরি দিয়্যে,Chittagong
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তোঁয়ারে লই আঁযি যায়্যুম আসসান অর নিল অত,Chittagong
চলোনা কিছু না মেনে ভালোবাসি,আডো না কিচু ন মানি বালবাসি,Chittagong
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,আডো দুইযনে মিলি সুকর ফিতিবি সাযাই,Chittagong
তোমাকে নিয়ে আমার সব কল্পনা,তোঁয়ারে লই আঁর বেজ্ঞিন কল্ফনা,Chittagong
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তোঁয়ারে রিদয় অত রাইক্কম সারাক্ষণ,Chittagong
তুমি যদি চাও বৃষ্টি হবে আজ,তুঁই যদি চ যর ফরিবো আযিয়া,Chittagong
চল দুজনে হাত ধরে হারাবো,আডো দুইজনে আত দরি আঁযি যাই,Chittagong
তোমাকে ছুয়ে দিতে চাই অনুমতি,তোঁয়ারে চুইবর লাই চাই অনুমতি,Chittagong
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,এই চবির বেজ্ঞিন গান আঁর ফ্রিয় আচিল এবং আইযো আচে,Chittagong
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়",আচা বালবাসা ন আরে মিচা বালবাসা আরি যা গই,Chittagong
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,এই সেই সোনালি যুগ অর সেই ফ্রাচিন গান যে গান ফুইনলে বুক্কান বরি যা গই,Chittagong
