standard_text,dialect_text,dialect
তাঁর বই পরতে একদমই ভাল লাগে না,হিগার বই হইটটে এককারে বালা লাগে না,Noakhali
আপনার কি বই পড়ার অভ্যাস আছে ?,আন্নের কি বই হড়ার ঐববাস আছে?,Noakhali
তুমি কি আমাকে চিনো ?,তুই য়ারে চিনো?,Noakhali
আমি তোমাকে চিনতে  পারলাম  না,আই তোরে আগে কোনোসুমে দেই ন,Noakhali
আমি তোমাকে আগে কখনো দেখি নাই,আই  তোরে চিনতে হাইরলাম না,Noakhali
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,আর হরালেয়া কইত্তে একছের ভালা লাগে না,Noakhali
আপনার পড়ালেখা করা উচিত,আন্নের হরালেয়া করন দরকার ,Noakhali
আপনাকে পড়ালেখা  করতে হবে,আন্নেরে হরালেয়া কইত্তে অইবো,Noakhali
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,আন্নের কি হরালেয়া কইত্তে একছের ভালা লাগে না,Noakhali
তোর পড়ালেখা কোরতে হবে,তোর হরালেয়া কইরতো অইবো,Noakhali
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর হরালেয়া কইত্তি নও,Noakhali
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি হরালেয়া ছাড়দিয়া লাইতো চাস ?,Noakhali
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তোর কি হরালেয়া কইত্তে একছের ভালা লাগে না?,Noakhali
তুমি কি এখন খেতে বসবা  ?,তুই কি অন খাইতো বইবি?,Noakhali
আজকে আমার খেতে ভালো লাগছে না,আইজগা আর খাইতে ভালা লগের না,Noakhali
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,আর স্কুলে মেলা বনদু আছে ,Noakhali
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,আর ছোড বইন স্কুলে যাইতো চায় না ,Noakhali
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,আর স্কুলো যাইতো মেলা ভালা লাগে ,Noakhali
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,হেতে  হেতেগো গ্রামে এককান স্কুলে হড়ালেয়া করে  ,Noakhali
সে বিদ্যালয়ে যেতে চায় না,হেতে স্কুলো যাইতো চায় না ,Noakhali
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,হেতের স্কুলে যাই হড়ালেয়া কইরতো ভালা লাগে না ,Noakhali
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,হেতে স্কুলো যাই বনদুগোর লগে গল্ফ করে ,Noakhali
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,হেতে স্কুলের মাডো হইত্তোদিন ক্রিকেট খেলে,Noakhali
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,হেতি স্কুলের মাডো মাতা ঘুরি হড়ি গেছেগই,Noakhali
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,হেতে মেলা দিন আগে স্কুলের অগগা বইতালিরে ভালোবাইসতো,Noakhali
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,হোলাগা হেতাগো গ্রামের ছোট্ট এককান স্কুলতুন হড়ালেয়া করি  এসএসসি হাস কইচ্ছে,Noakhali
তোমাদের বাসা কোথায়?,তোংগো বাসা কোনাই,Noakhali
ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশ এর রাইজধানী,Noakhali
তুমি কি আমার সাথে প্রেম করবা?,তুই কি আর লগে হেম কইরবা,Noakhali
আমি আজকে সকালে ফুটবল খেলেছি,আই আইজগা সকালে ফুলবল খেইলছি,Noakhali
আমি তোমার মনের কথা বুঝি না,আই তোওর মনে কতা বুজি,Noakhali
তোমার জন্য আমার খুব কষ্ট হয়,তোওর লাই আর মেলা কষ্ট লাগে ,Noakhali
আমাদের স্বপ্ন অনেক বড়,আংগোর স্বপ্ফন মেলা বড্ডা,Noakhali
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,কম বয়সি অগগা হোলা বাআরা রাস্তার অচে ফুটপাতে দৌড়ার,Noakhali
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,লেদা বাইচ্চা বিছনাত লাফাই উডের ,Noakhali
একটি ছেলে বিছানায় লাফাচ্ছে,এগগা হোলা বিছনাত লাফাআর,Noakhali
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,অগগা হোলা এক বিছনাত তুন আরোক বিছানাত লাফ দেএর ,Noakhali
একটি ছোট শিশু ফুটপাতে হাঁটছে,লেদা বাইচ্চা ফুটপাতে আডেএর,Noakhali
আমি একজন ছেলে,আই অগগা হোলা,Noakhali
আমি একজন মেয়ে,আই অগগা বইতালি,Noakhali
আমার স্বামী আমাকে খুব ভালোবাসে,আর জামাই আরে অনেক ভালোবাসে,Noakhali
স্কুল জীবন থেকে তাদের প্রেম ছিলো,স্কুল জীবনতুন হেতাগো পেম আছিলো,Noakhali
আমি বিবাহ করেছি দশ বছর হয়,আই বিয়া কইচ্ছি দশ বছর অর,Noakhali
অসম্ভব ভাল ছবি,অসম্ভব ভালা ছবি,Noakhali
বহুদিন পরে একটা ভাল ছবি দেখলাম,মেলা দিন হরে এককান ভালা ছবি দেইকছি,Noakhali
অসম্ভব ভালো লিখেছেন,অসম্ভব ভালা লেইকছে,Noakhali
বহুদিন পরে একটা ভালো লেখা পড়লাম,বহুতদিন হরে এককান ভালো লেয়া হইড়লাম,Noakhali
প্রচণ্ড মাথা ব্যথা করছিলো,প্রচন্ড মাথাব্যথা কইত্তাছিলো,Noakhali
কিছুই বুঝতে পারলাম না,কিছুই বুইঝদাম হারিনো,Noakhali
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,হেতন এটা দেই অজ্ঞান হই গেছে,Noakhali
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এককতাত আন্নেরে অনেক সুন্দর লাগের,Noakhali
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,আন্নের ছবির তুন বাস্তবে আন্নে বেশি সুন্দর,Noakhali
আপনার হাশির কাছে সব কিছু হার মেনে যায়,আন্নের হাসির কাছে বেক কিছু হার মানি যায়,Noakhali
আপনার চোখ অনেক সুন্দর,আন্নের চোকগুন অনেক সোন্দর,Noakhali
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,আন্নের লগে পরিচয় অই ভালা লাইগছে,Noakhali
অনেক সময় পর আপনাকে দেখছি,মেলাদিন হরে আন্নেরে দেইকলাম,Noakhali
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দুই ভাইর ভিত্তে জাগা-জমি লই কাইজ্জা অয়,Noakhali
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,হরে এক ভাই কুয়েত চলি গেছে আরেক ভাই সুদান চলি গেছে,Noakhali
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,কিছুদিন হরে সুদান হেরত বেডাগা বিয়া কইচ্ছে,Noakhali
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি",ফোন হালাই লেপটিনে গেলে মনে অয় লাজেন জরুরী ফাইল হালাই অফিসে বসি রইছি,Noakhali
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যতাগো গালি দেয়ন ওই গেছে হেতারা দয়াকরি লাইনতুন সড়িদাড়ান,Noakhali
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,হিছনে অনো মেলা  মানুষ লাইনে খাড়াই রইছে,Noakhali
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,হেতাগোরে  গালি দেওনের লাই সুযোগ করি দেন ,Noakhali
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,বেশি কিছু কইত্তান না কারন আবেগছ চোখের হানি চলি আইছে,Noakhali
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুউই কইছো যেতে থাইকবার হেতে এননেই থাকি যাইবো,Noakhali
প্রথমে আপনাকে একটি দোকানে যেতে হবে,আগেদি আন্নেরে এককান দোয়ানে যাইতে অইবো,Noakhali
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিজের হছন্দের বিয়াত বাফ মারে রাজি করানি অইছে,Noakhali
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,মাইয়াগা লাল শাড়ি হরি খাড়াই রইছে,Noakhali
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বউগার লাই বন্দুগোর কাছে আর মুখ দেখাইবার উফায় নাই,Noakhali
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আরে বেকের সামনে মাইত্তে মাইত্তে বাসাত লই আইনছে,Noakhali
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,আই জানি ইয়ানে অনেক মাইয়া অগল কমেন্ট হইডতে আইবো,Noakhali
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাঝে মাঝে মনে অয় ঘরবাড়ি বেক মশার নামি দি হালাই আই জঙ্গলে চলি যাই,Noakhali
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো",তোউর অই আছি আই তোউর অই থাকুম,Noakhali
সারা জীবন তোমায় আমি ভালবেসে যাবো,হারা জীবন আই তোয়ারে ভালোবাসি যামু,Noakhali
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না",পাশে থাকিও সারাজীবন দূরে যাইয়ো না ,Noakhali
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তোয়রে ছাড়া আর এক্কানাও ভালা লাগে না ,Noakhali
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ",কুনুগারে আবেগের ভালোবাসা দিচ্ছা মনের ভালোবাসা দিচ,Noakhali
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,কিল্লাই আবেগের ভালোবাসা একদিন বিবেকের  কাছে হারি যাইবো ,Noakhali
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কেন্নে বুঝাইতাম হেতেরে আই কতটা ভালোবাসি ,Noakhali
অনেক দিন পর তোমাকে দেখলাম,মেলা দিন হর তোমার দেয়া হাইলাম,Noakhali
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তোমারে দেই থমকী খাড়াই গেছি,Noakhali
আমি খুব কষ্টে নিজেকে সামলে নিলাম,আই খুব কষ্ট নিজেরে সামলাই লইছি,Noakhali
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যেত্তে তুই আরে দেখিও না দেইকবার ভান কইচ্ছোত  আর দারুন লাইগছে,Noakhali
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তোয়ারে হেই অনুভূতির কতা বলি বুঝাইতে হাইরতান্ন,Noakhali
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,তোয়ারে খুব মনে হইডতাছে তোয়ারে লাল গোলাপ দিয়ুম ,Noakhali
আমার জীবনে কেউ নেই তুমি ছাড়া,আর জীবনে কেউ নাই তুউই ছাড়া,Noakhali
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,আর জীবনে কোন স্বপ্ন নাই তুউই ছাড়া ,Noakhali
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,আর দুই চোক কিচ্ছু খোজেনা তোয়ারে ছাড়া,Noakhali
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যেত্তে মাইয়া বুঝে হেত্তে হোলা বুঝে না ,Noakhali
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুউই শুধু মনে রাখিও আরে হারা বেলা,Noakhali
চোখের কান্না মুছে  দেব তোমায় হাসি,চোকের হানি মুছি দিয়ুম তোয়ার ঐ হাসি দি,Noakhali
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,হেটার লাই তো বন্দু তোমারে এত ভালোবাসি ,Noakhali
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি",কত সুন্দর তুমি হেমে হইড়ছি আমি,Noakhali
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,হোলারা ভালোবাসার অবিনয় কইত্তে কইত্তে কন যে সত্যি কারের ভালোবাসি হালায় হেটা হিগুন নিজেও জানে না ,Noakhali
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,মাইয়ারা সত্যিকারের ভালোবাইসতে বাইসতে কঅন যে অবিনয় শুরু করে নিজেও কইতে হারে না ,Noakhali
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,এই দুনিয়াত প্রিরিয় মানুষগুন ছাড়া বাচন কষ্টকর অইলেও  কিন্ত অসম্ভব ন,Noakhali
কারো জন্য কারো জীবন থেমে থাকে না,কারোর লাই করোর জীবন থামি থাকে না ,Noakhali
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,কাউরে প্রচুর ভালোবাইসবার মধ্যে দুর্বলতা আছে,Noakhali
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে",হোলা আর মাইয়া  বন্দু অইতো হারে কিন্ত তারা অবশ্যই হেমে হড়ে,Noakhali
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,হোলা গোর লাই সব চাইতে প্রিয় হইলো মাইয়াগো হাসি,Noakhali
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তোমারে দু চোখে এখন ও দেখা বাকী ,Noakhali
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তোমারে কাছে আই জড়াই ধরন বাকি,Noakhali
আমার অনেক ঠাণ্ডা লাগছে,আর মেলা ঠাণ্ডা লাগের,Noakhali
আমার মন খারাপ,আর মন মেলা খারাপ,Noakhali
আপনার কি মন খারাপ ?,আন্নের কি মন খারাপ নি,Noakhali
তোমার  কি মন খারাপ ?,তোমার কি মন খারাপ নি,Noakhali
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বা আর লাই লাল জামা লই আছে ,Noakhali
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,আর বন্ধু আর লাই লাল শাড়ি আইনসে ,Noakhali
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,আর বন্ধু আর লাই লাল গোলাপ কিনি আন্সে ,Noakhali
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,আর আম্মা আমারে নিয়ে পার্কে ঘুরতে গেছে,Noakhali
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","যেই ভালোবাসা যত বিতরে,সেই ভালোবাসা  তত বেশি",Noakhali
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,ভালোবাসা পানের চাইতে দেয়ায় বেশি খুশি লাগে,Noakhali
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও",যোদি করে ভালা বাস তারে ছাড়ি দে,Noakhali
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল",যদি হেতে তোর কাছে চলি আইয়ে তাইলে বুঝব ভালোবাসে,Noakhali
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না",আর যদি না আইয়ে তাইলে হেতে আন্নের আছিলই না কোনসময়,Noakhali
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",যেসময় কোনো বেডা কোনো বেডি রে ভালা বাসে হেত হেতির লাই বেগিন করতে হারে,Noakhali
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,খালি মুখ দি ভালাবাসি ভালোবাসি কনের চাইতে মনের ভিতর তুন ভালাবাসা মেলা কঠিন,Noakhali
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,ভালাভাসি বলতে এজ্ঞা আরেজ্ঞা রে বুজন,Noakhali
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,আই যে মানুষ গারে ভালবাসাম হেতে যদি না বুঝবার না পারে তাইলে এই প্রেম করবার কোনো লাভ  আছে কই মনে হয় না,Noakhali
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অশুকি থাই আরেজ্ঞারে ভালা ভাশন যায় না,Noakhali
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,কনুগা আন্নের জীবনে সুখ আনি দিবো এইডা ভাবি কারো লগে প্রেম এ জরাইয়েন না,Noakhali
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,আননে কারো জীবনে ভালোবাসা আনি দিবেন এই চিন্তা করে পীড়িত করেন,Noakhali
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না",সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষরে সুখি কইরতো চায় তার থেকে কোন কিছু পতিদান চায় না ,Noakhali
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,ভালোবাসা মানে কারো পাইজান নো বলতে পারো নিজেই কারো জন্যে হেরে যাওয়া,Noakhali
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,আন্ন কোনোদিন হার্তেন নো কারো ভালোবাসা লই যাইতে কিংবা অন্যের ভালা লাগার মানুষ হইতে,Noakhali
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চোখের সামনে যাদেরকে দেখসেন তাদেরকে কাইলগা যে দেখবেন হেডার কোনো নিচয়টা নাইয়েরর ,Noakhali
ভালো লাগে তোমার ওই কাজল কালো চোখ,ভালা লাগে তোর ওই কাজল কালা চোক ,Noakhali
তোমার মনের কথা আজ আমাকে খুলে বলো,তোর মনের কথা আজ আমাকে খুলে বল,Noakhali
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","আমার হাত ধরে চলার শুরু কর,পিছনে ফিরণ লাগবো না",Noakhali
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিয়ুম আই তোমার হাতে,Noakhali
এই মন আজ তোমায় দিলাম,এই মন দা তোরে দি দিলাম,Noakhali
তোমার ওই মন আমি নিয়ে নিলাম,তোর এই মন আমি নিয়ে নিলাম,Noakhali
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,হাজার কথার মাঝে এককান মনে কথা লুকাই আছে,Noakhali
সব কথা মুখে বলে দেওয়া যায়না,বেগীন মুখে কোন যায় না,Noakhali
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,হাজার কথার মাঝে ওই এক্কান কথা বুঝি নেন লাগে,Noakhali
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাচি আছি ততদিন তোর কথা রাখুম,Noakhali
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ",যত কষ্ট অক সব মানি লমু হিয়ার হরেও তোমারেই ভালোবাসুম,Noakhali
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ",দেখো কি সুন্দর মিষ্টি চান্দের মিষ্টি হাসি ,Noakhali
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ",হুলে হুলে সাজাই রাইখছি আর এ মন তুমি আইলে দুইজন মিলি সাজাইয়ুম জীবন,Noakhali
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,হরাশোনা করি কি অইব যদি তোয়ারে না পাওয়া যায়,Noakhali
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,মাইয়াগো পোস্ট অইতাছে মাছের বাজার বেকে আই ভিড় জমায়,Noakhali
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,হোলাগো পোস্ট অইছে সোনার দোয়ান হেটার লাই কম লোক  ইয়ানে আইয়ে ,Noakhali
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে",ইইত্তিদিন ঘুমাইবার আগে মনে মনে ভাবি যাই হোক বিয়া কইরবার আরুগ্গা দিন  আগাই আইছে,Noakhali
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল",বিয়াত হোলাহক্ক দাবি কইচ্ছে দুগা স্বর্নের জিনিস মাইয় হক্ক রাজি অই গেছে,Noakhali
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,এ সময়ে প্রেমহীন মানুষ খুজি হাওআ কইষ্ট কর,Noakhali
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিষ্টি হাসি দি কতা কই হাগল করি দিলা,Noakhali
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তোয়ারে লই আরাই যাইয়ুম আকাশোর নিলে,Noakhali
চলোনা কিছু না মেনে ভালোবাসি,চলোনা কিছু না মানি ভালোবাসি ,Noakhali
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,চলো দুইজন মিলি সুখের পৃথিবীর সাজাই,Noakhali
তোমাকে নিয়ে আমার সব কল্পনা,তোয়ারে লই আর সব কল্পনা ,Noakhali
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তোয়ারে রিদয়ে রাখুম সারাজীবন ,Noakhali
তুমি যদি চাও বৃষ্টি হবে আজ,তুউই যদি কই বৃষ্টি অইয়ুম আইজ,Noakhali
চল দুজনে হাত ধরে হারাবো,চলো দুইজন মিলি আত ধরি আরাই,Noakhali
তোমাকে ছুয়ে দিতে চাই অনুমতি,তোয়ারে ছুই দিবার লাই চাই অনুমুতি,Noakhali
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,এ ছবির বেগগুন গান মেলা প্রিয় আছিলো অনো আছে,Noakhali
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়", সইত্য ভালোবাসা হারেনা মিথ্যাআন হারি যায়,Noakhali
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,এয়ান হেই সোনালী যুগের প্রাচীন গান যে গান হুইনলে বুকআন ভরি যায়,Noakhali
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে",যতবার দেই ততবার ভালা লাগে মৌসুমিরে এই গানে ভালা লাগের,Noakhali
এখনো ভালো লাগে গানটা,অনো ভালা লাগে গান আন,Noakhali
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,কালা আর লাল শাড়িতে মৌসুমীকে অসম্ভব সুন্দর লাগে,Noakhali
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা ,মনে হড়ি যায় আর ভালোবাসার মানুষ আনের কতা,Noakhali
গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে,গান আন হুইনলেই পুরান ইতিহাস এর কতা মনে হড়ে,Noakhali
এই ছবির  সব গানগুলো অনেক সুন্দর,এই ছবির বেক গানগুন মেলা সুন্দর ,Noakhali
 সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে ,বেক সময় গান গুলো হুন তে ভালা লাগে ,Noakhali
মৌসুমি আপুকে বলছি এরকম  একটা ছবি আমাদেরকে আবার উপরহার দিন,মৌসুমী আপাকে বলছি এরকম একখান ছবি আমগোরে উপহার দেয়,Noakhali
"মৌসুমী আসলেই খুব সুন্দরী, আমি কাছ থেকে দেখেছি","মৌসুমী আসলেই মেলা সুন্দরী ,আই কাছ থেকে দেখি আসছি",Noakhali
