standard_text,dialect_text,dialect
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর,Barishal
আপনার হাশির কাছে সব কিছু হার মেনে যায়,আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়,Barishal
আপনার চোখ অনেক সুন্দর,আমনের চউখ বেমালা সুন্দর,Barishal
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,আমনের লগে পরিচিত হইয়া ভালো লাগছে,Barishal
অনেক সময় পর আপনাকে দেখছি,ম্যালাদিন পর আমনেরে দেখলাম,Barishal
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দুই ভাইগো মইধ্যে জাগা জমি লইয়া কাইজ্জা হয়,Barishal
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়,Barishal
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,কয়দিন পরে সুদান দিয়া আসা ব্যাডা বিয়া করেন,Barishal
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","মোবাইল থুইয়া বাথরুমে গ্যালে, মনে হয় জরুলি কাগজ থুইয়া অপিসে বইইয়া আছি",Barishal
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যাগো খামার দেওয়া হইছে হ্যারা দয়া কইরা লাইন দিয়া সৈররা যান,Barishal
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,পাছে এহনও বেমালা মানু লাইনে খারাইয়া আছে,Barishal
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,হ্যাগো খামার দেওয়ার সুযোগ কইরা দ্যান,Barishal
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,বেমালা কিছু কমু না কারণ আবেগে চোখে পানি চইল্যা আইছে,Barishal
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুমি কইছো যে থাহার হ্যায় এমনিতেই থাকবে,Barishal
প্রথমে আপনাকে একটি দোকানে যেতে হবে,পোরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে,Barishal
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিজের পছন্দের বিয়ায় বাপ মায়রে রাজি করাইন্না হইছে,Barishal
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,মাইয়ডা লাল শাড়ি পইররা খারাইয়া আছে,Barishal
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বউয়ের লইজ্ঞা আর দোস্তোগো মাঝে মুখ দ্যাহাইন্নার উপায় নাই,Barishal
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,মোরে বেবাকের সামনে মারতে মারতে বাসায় লইয়া আহে,Barishal
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,মুই জানি এইহানে বেমালা মাইয়া কমেন্ট পড়তে আইবে,Barishal
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাঝে মইধ্যে মনে কয় বাসাবাড়ি সব মাশার নামে লেইখ্যা দিয়া মুই জঙ্গলে চইল্যা যাই,Barishal
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","তোমার হইয়া আছি মুই, তোমার হইয়াই থাকমু",Barishal
সারা জীবন তোমায় আমি ভালবেসে যাবো,সারা জীবন তোমারে মুই ভালোবাইসা যামু,Barishal
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","পাশে থাইকো সারা জীবন, দূরে যাইয়ো না",Barishal
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তোমারে ছাড়া এক্কালেই মোর ভালো লাগে না,Barishal
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","কাউরে আবেগের ভালোবাসা দিও না, মনের ভালোবাসা দিও",Barishal
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,কারন আবেগের ভালোবাসা এউক্কা দিনের বিবেকের ধারে ঠইজ্ঞা যাইবে,Barishal
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কি কইরা বুঝামু হ্যারে মুই কতডা ভালোবাসি?,Barishal
অনেক দিন পর তোমাকে দেখলাম,ম্যালাদিন পর তোমারে দেখলাম,Barishal
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তোমারে দেইখ্যা থমকে খারাইয়া আল্লাহম,Barishal
আমি খুব কষ্টে নিজেকে সামলে নিলাম,মুই বেমালা কষ্টে মোরে সামলাইয়া নিছি,Barishal
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যহন তুমি মোরে দেইখ্যা না দেহার ভান করছো তহন মোর মজা লাগছে,Barishal
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তোমারে হেই অনুভূতির কথা কইয়া বুঝাইতে পারমু না,Barishal
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,তোমারে ম্যালা মনে পড়ছে দিমু তোমারে লাল গোলাপ,Barishal
আমার জীবনে কেউ নেই তুমি ছাড়া,মোর জীবনে কেউ নাই তুমি ছাড়া,Barishal
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,মোর জীবনে কোনো স্বপ্ন নাই তুমি ছাড়া,Barishal
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,মোর দুজ্ঞা চোউখ কিছু খোঁজেনা তোমারে ছাড়া,Barishal
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যহন মাইয়া বোঝে তহন পোলা বোঝে না,Barishal
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুমি খালি মনে রাইখো মোরে হগল সময়,Barishal
চোখের কান্না মুছে  দেব তোমায় হাসি,চোখের পানি মুইচ্ছা দিমু তোমারে হাসি,Barishal
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,হেইতে মুই দোস্তো তোমারে বেমালা ভালোবাসি,Barishal
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","বেমালা সুন্দর তুমি, পেরেমে পড়ছি মুই",Barishal
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,পোলারা ভালোবাসার নাটক করতে করতে যে কহন আসলেই ভালোবাইসা হালায় হ্যারা হেইয়া নিজেও জানেনা,Barishal
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,মাইয়ারা ভালোবাসতে বাসতে যে কহন আসলেই অভিনয় শুরু করে হ্যারা হেইয়া নিজেও জানেনা,Barishal
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,এই পিরথিবিতে পছন্দের মানুগুলা থুইয়া বাইচ্চা থাহাডা তয় অসম্ভব কিছুই না,Barishal
কারো জন্য কারো জীবন থেমে থাকে না,কারও লইজ্ঞা কারো জীবন থাইম্মা থাহে না,Barishal
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,কাউরে বেমালা ভালোবাসার মধ্যে এক রহমের দুর্বলতা আছে,Barishal
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","পোলা আর মাইয়া দোস্তো হইতে পারে, তয় হ্যারা ঠিকই একজন আর একজনের পেরেমে পড়বে",Barishal
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,পোলাগো লইজ্ঞা পিরথিবিতে সব চাইতে দামী হইলো মাইয়াগো হাসি,Barishal
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তোমারে দুই চোখ ভইরা দ্যাহা এহনও বাকি,Barishal
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তোমার কাছে যাইয়া জাবরাইয়া ধরা বাকি,Barishal
আমার অনেক ঠাণ্ডা লাগছে,মোর অনেক শিত লাগতেয়াছে,Barishal
আমার মন খারাপ,মোর মন খারাপ,Barishal
আপনার কি মন খারাপ ?,আমনের কি মন খারাপ?,Barishal
তোমার  কি মন খারাপ ?,তোমার কি মন খারাপ?,Barishal
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বা মোর লইজ্ঞা লাল জামা কিন্যা আনছে,Barishal
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,মোর দোস্তো মোরে লাল শাড়ি কিন্যা দেছে,Barishal
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,মোর দোস্তো মোরে একডা লাল গোলাপ কিনে দেছে,Barishal
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,মোর মা মোরে লইয়া পার্কে ঘোরতে যাইবে,Barishal
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","যেই ভালোবাসা যতো গোপন, হেই ভালোবাসা হ্যাতো গভীর",Barishal
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,ভালোবাসা পাওয়ার চাইয়া ভালোবাসা দেওয়াতেই বেমালা সুখ,Barishal
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","তুমি যদি কাউরে ভালোবাসো,হ্যালে হ্যারে ছাইড়া দেও",Barishal
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","যদি হ্যায় তোমার ধারে ফিররা আহে, হ্যালে হ্যায় তোমারি আল্লেহ",Barishal
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","আর হ্যায় যদি ফিররা না আহে, হ্যালে হ্যায় কহনোই তোমার আআল্লেহ না",Barishal
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে","যহন কোনো ব্যাডা কোনো বেডিরে ভালবাসে, তহন হ্যায় হ্যার লইজ্ঞা বেবাক কিছু করতে পারে",Barishal
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,মোহে মোহে বেবাক সময় ভালোবাসি ভালবাসি কওয়ার চাইয়া মোর মনে হয় ভালোবাসার মানুডারে জানতে পারা বেমালা বড় বিষয়,Barishal
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,ভালোবাসা মানে নিজেগো জানতে পারে,Barishal
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,মুই যে মানুডারে ভালবাসমু হ্যারে যদি না বোঝতে পারি হ্যালে হেই পেরেমের কোনো মানে আছে বইলা মনে হয় না,Barishal
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অসুখী হইয়া অন্যরে ভালোবাইসা সুখী করা যায়না,Barishal
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,কেউ আমনের জীবনে সুখ আইনা দেবে ভাইবা কারো লগে পেরেমে জরাইবেন না,Barishal
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,আমনে কারো জীবনে সুখ আইনা দেবেন ভাইবা পেরেম করেন,Barishal
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না","সত্য ভালোবাসা খালি ভালোবাসার মানুডারে সুখী করতে চায়, হ্যার থাইকা কোনো কিছু আশা করে না",Barishal
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,ভালোবাসা মানে কাউরে জেতা না উলডা নিজেই কারো লইজ্ঞা ঠইগা যাওয়া,Barishal
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,আমনে কহনোই পারবেন না অন্য কারোর ভালোবাসারে ছিনাইয়া লইতে বা জোর কইরা আর একজনের ভালো লাগার মানু হইতে,Barishal
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চোখের সামনে যাগো দেখছেন হ্যাগো কাইলগো বেইননাকালে আর দ্যাখতে পাইবেন নিহি হ্যার কোনো ঠিক নাই,Barishal
ভালো লাগে তোমার ওই কাজল কালো চোখ,ভালো লাগে তোমার হেই কাজল কালো চোউখ,Barishal
তোমার মনের কথা আজ আমাকে খুলে বলো,তোমার মনের কথা আইজ মোরে খুইল্লা কও,Barishal
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","মোর হাতটা ধইরা সামনের দিক আউজ্ঞাইয়া লও, পিছে ঘুইররা আর মোরা দেখমু না",Barishal
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিমু মুই তোমার হাতে,Barishal
এই মন আজ তোমায় দিলাম,এই মন আইজ তোমারে দিলাম,Barishal
তোমার ওই মন আমি নিয়ে নিলাম,তোমার হেই মোন মুই নিয়া নিলাম,Barishal
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,হাজার কথার মইধ্যে এউক্কা মনের কথা পলাইয়া থাহে,Barishal
সব কথা মুখে বলে দেওয়া যায়না,বেবাক কথা মোহে কইয়া দেওয়া যায়না,Barishal
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,হাজার কথার মইধ্যে হেই এউক্কা কথা বুইঝ্যা লইতে হয়,Barishal
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাইচ্চা থাহি তোমারে মনে রাখমু,Barishal
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ","যত কষ্ট হোউক বেবাক মাইনা নিমু, হেইরপরেও হারাজীবন তোমারেই ভালোবাসমু",Barishal
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ","দ্যাহো, কত সুন্দর মিষ্টি চাঁন্দের মিষ্টি আলো",Barishal
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ","ফুলে ফুলে সাজাইয়া রাখছি মোর এই মোন, তুমি আইলে দুইজন মিল্লা সাজামু জীবন",Barishal
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,পড়াল্যাহা কইররা কি হইবে যদি তোমারেই না পাই,Barishal
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,"মাইয়াগো পোস্ট হইতেয়াছে মাছের বাজার , হগলডি আইয়া ভীর করে",Barishal
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,পোলাগো পোস্ট হইতেয়াছে সোনার দোকান হেইহার লইজ্ঞা কম লোকই এহানে আহে,Barishal
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে",পেরতেক দিন ঘুমাইয়া পড়ার আগে ভাবি যাই হউক বিয়া করার আর এউক্কা দিন আগাই আইছে,Barishal
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল","বিয়াতে পোলাগো পক্ষ দাবি করছেলে দুজ্ঞা সোনার জিনিস চাই , মাইয়া পক্ষ হেইয়াতেই রাজি হইয়া গ্যালো",Barishal
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,এই সময়ে পেরেম ছাড়া মানু খুঁইজ্জা পাওয়াটা অসম্ভব,Barishal
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিষ্টি হাসি দিয়া কথা কইয়া পাগল কইরা দেলে,Barishal
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তোমারে লইয়া হারাইয়া যামু আকাশের নীলে,Barishal
চলোনা কিছু না মেনে ভালোবাসি,লও কিছু না মাইনা ভালোবাসি,Barishal
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,লও দুইজন মিল্লা সুখের পীরথিবী সাজাই,Barishal
তোমাকে নিয়ে আমার সব কল্পনা,তোমারে লইয়া মোর হগল ভাবনা,Barishal
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তোমারে মোনে রাখমু বেবাক সময়,Barishal
তুমি যদি চাও বৃষ্টি হবে আজ,তুমি যদি চাও বইশ্যা হইবে আইজগো,Barishal
চল দুজনে হাত ধরে হারাবো,লও দুইজন হাত ধইরা হারামু,Barishal
তোমাকে ছুয়ে দিতে চাই অনুমতি,তোমারে ছুইয়া দেতে চাই অনুমতি,Barishal
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,এই ছবির বেবাক গান বেমালা পছন্দ আল্লেহ আর এহনো আছে,Barishal
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়","সত্যের ভালবাসা হারে না, মিছা ভালোবাসা ঠইগা যায়",Barishal
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,এই হেই সোনালী যুগের হেই পুরান গান যে গান হুনলে বুকটা ভইরা যায়,Barishal
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে","যতবার দেহি ততোবার ভালো লাগে, মৌসুমীরে গানডায় বেমালা সুন্দর লাগতেয়াছে",Barishal
এখনো ভালো লাগে গানটা,এহনও ভালো লাগে গানডা,Barishal
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,কালা আর লাল শাড়িতে মৌসুমী আফা রে বেমালা সুন্দর লাগে,Barishal
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা ,মনে পইড়া যায় মোর ভালোবাসার মানুডার কথা,Barishal
