standard_text,dialect_text,dialect
সে আমাকে অপমান করে,হে আমারে অপমান করে,Sylhet
তাঁর বই পরতে একদমই ভাল লাগে না,তার বই পড়তে একদম অউ ভালা লাগে না,Sylhet
আপনার কি বই পড়ার অভ্যাস আছে ?,আফনার কিতা বই পড়ার অভ্যাস আছে নি?,Sylhet
তুমি কি আমাকে চিনো ?,তুমি আমারে চিনো নি?,Sylhet
আমি তোমাকে চিনতে  পারলাম  না,মুই তুুমারে চিনতাম পারিয়ার না,Sylhet
আমি তোমাকে আগে কখনো দেখি নাই,মুই তুমারে এর আগে কুনোদিন দেখছি না,Sylhet
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,পড়ালেখা করতে আমার এখদম ভালা লাগে না,Sylhet
আপনার পড়ালেখা করা উচিত,আফনার পড়ালেখা করা উচিত,Sylhet
আপনাকে পড়ালেখা  করতে হবে,আফনার পড়ালেখা খরা লাগবো,Sylhet
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?,Sylhet
তোর পড়ালেখা কোরতে হবে,তর পড়ালেখা করা লাগবো,Sylhet
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কিতা আর পড়ালেখা করতে নানি,Sylhet
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কিতা পড়ালেখা ছাড়িত্তে নি?,Sylhet
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি,Sylhet
তুমি কি এখন খেতে বসবা  ?,তুমি কিতা এখন খানিত বইবায় নি?,Sylhet
আজকে আমার খেতে ভালো লাগছে না,আইজকু আমার খাইতে ভালা লাগের না,Sylhet
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,ইস্কুলো আমার বাক্কা বন্ধু আছে,Sylhet
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,আমার ছুটো বইন ইস্কুলো যাইতে চায় না,Sylhet
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,আমার ইস্কু্ল যাইতে অনেক ভালা লাগে,Sylhet
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,হে তার গাউর এখটা ইস্কুলো পড়ে,Sylhet
সে বিদ্যালয়ে যেতে চায় না,হে ইস্কুলো যাইতো চায় না,Sylhet
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না,Sylhet
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে,Sylhet
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,Sylhet
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল,Sylhet
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো,Sylhet
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,Sylhet
তোমাদের বাসা কোথায়?,তুমার বাসা খই?,Sylhet
ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশর রাজধানী,Sylhet
তুমি কি আমার সাথে প্রেম করবা?,তুমি কিতা আমার লগে পিরিত করবায় নি?,Sylhet
আমি আজকে সকালে ফুটবল খেলেছি,মুই আইজ বিয়ানে ফুটবল খেলাইছি,Sylhet
আমি তোমার মনের কথা বুঝি না,মুই তুমার মনর খতা বুজি না ,Sylhet
তোমার জন্য আমার খুব কষ্ট হয়,তুমার লাগি আমার খুব খষ্ট অয়,Sylhet
আমাদের স্বপ্ন অনেক বড়,আমরার সফনো বহুত বড়,Sylhet
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার,Sylhet
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,Sylhet
একটি ছেলে বিছানায় লাফাচ্ছে,এখটা ফুয়া বিছনাত ফালার,Sylhet
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের,Sylhet
একটি ছোট শিশু ফুটপাতে হাঁটছে,এখটা হুরু মনা ফুটপাতো আটের,Sylhet
আমি একজন ছেলে,মুই এখটা ফুয়া,Sylhet
আমি একজন মেয়ে,মুই এখটা ফুড়ি,Sylhet
আমার স্বামী আমাকে খুব ভালোবাসে,আমার জামাই আমারে খুব ভালা পায়,Sylhet
স্কুল জীবন থেকে তাদের প্রেম ছিলো,ইস্কুল জীবন থাকি তারার পিরিত আছিল,Sylhet
আমি বিবাহ করেছি দশ বছর হয়,আমার বিয়ার দশ বছর অর,Sylhet
অসম্ভব ভাল ছবি,বহুত ভালা ছবি,Sylhet
বহুদিন পরে একটা ভাল ছবি দেখলাম, বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,Sylhet
অসম্ভব ভালো লিখেছেন,বহুুত ভালা লেখছইন,Sylhet
বহুদিন পরে একটা ভালো লেখা পড়লাম,বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম,Sylhet
প্রচণ্ড মাথা ব্যথা করছিলো,যে মাথাত বেদনা ধরছিল,Sylhet
কিছুই বুঝতে পারলাম না,কুনতা বুঝতাম ফারলাম না,Sylhet
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন,Sylhet
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক খতায় আফনারে বাক্কা সুন্দর লাগের,Sylhet
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর,Sylhet
আপনার হাশির কাছে সব কিছু হার মেনে যায়,আফনার হাসির কাছে সব কিছু হার মানি যায়,Sylhet
আপনার চোখ অনেক সুন্দর,আফনার চউক অনেখ সুন্দর,Sylhet
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,আফনার লগেে পরিচিত অইয়া ভালা লাগলো,Sylhet
অনেক সময় পর আপনাকে দেখছি,বাক্কা সময় পর আফনারে দেখলাম,Sylhet
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দুই ভাইর মাঝে জাগা জমিন লইয়া মাইর অয়,Sylhet
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,বাদে এক ভাই কুয়েত গেছেগি আর আরোখ ভাই সুদান গেছে গি,Sylhet
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,কয়দিন পর সুদান থাকি আওয়া বেটায় বিয়া করইন,Sylhet
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","মোবাইল ছাড়া বাথরুমে গেলেগি, মনে অয় দরখারি ফাইল ছাড়া অফিসো বই রইছি",Sylhet
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যারার গালি দেওয়া অই গেছে তারা দয়া করি লাইন থাকি হরি যাইন,Sylhet
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,পিছেদি এখনো বাক্কা মানুষ লাইনো উবানিত,Sylhet
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,তারারে গালি দেওয়ার সুযোগ খরি দেইন,Sylhet
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,বেশি কুনতা খইতাম নায় কারণ আবেগে চকুত পানি আইচ্চে,Sylhet
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুমি কইরায় যে থাকার হে এমনেউ থাকি যাইবো,Sylhet
প্রথমে আপনাকে একটি দোকানে যেতে হবে, পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,Sylhet
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিজর পছন্দর বিয়াত বাফ মারে রাজি করানি অইলো,Sylhet
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে, ফুড়িটায় লাল শাড়ি পিন্দিয়া উবানিত,Sylhet
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বউর লাগি বন্ধুরার সামনে মুখ দেখানির আর উপায় নাই,Sylhet
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমারে সবর সামনে মারতে মারতে বাসাত লইয়া আয়।,Sylhet
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,মুই জানি ইকানো অনেক ফুড়িন কমেন্ট ফরার লাগি আইবা,Sylhet
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাঝে মাঝে মনে অয় ঘরবাড়ি সব মশার নামে লেকিয়া দিয়া মুই জঙ্গলো যাই গিয়া,Sylhet
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","মুই তুমার অইয়া আছি, তুমার অইয়া থাকমু",Sylhet
সারা জীবন তোমায় আমি ভালবেসে যাবো,সারাজীবন তুমারে মুই ভালোবাসিয়া যাইমু,Sylhet
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","লগে থাকিও সাড়া জীবন, দূরই যাইয়ো না",Sylhet
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তুমারে ছাড়া আমার একটুও ভালা লাগে না,Sylhet
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","খেউরে আবেগর ভালোবাসা দিও না, মনর ভালোবাসা দিও",Sylhet
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,কারন আবেগর ভালোবাসা একদিন বিবেকর কাছে হারি যাইবো,Sylhet
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কিলা বুঝাইতাম তারে মুই কতখান ভালাপাই?,Sylhet
অনেক দিন পর তোমাকে দেখলাম,বাক্কাদিন বাদে তুমারে দেখলাম,Sylhet
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তুমারে দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম,Sylhet
আমি খুব কষ্টে নিজেকে সামলে নিলাম,মুই অনেক কষ্টে নিজোরে সামলাইয়া নিছলাম,Sylhet
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যেবলা তুমি আমারে দেকিয়াও না দেখার ভান করলায় হেবলা আমার বেশ লাগছে,Sylhet
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তুমারে হউ অনুভুতির মাত কওয়া বুঝাত ফারতাম নায় ,Sylhet
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,"তুমারে খুব মনো পড়ের, তুমারে লাল গোলাপ দিতাম",Sylhet
আমার জীবনে কেউ নেই তুমি ছাড়া,আমার জীবনো তুমি ছাড়া খেউ নাই,Sylhet
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া, আমার জীবনো তুমি ছাড়া কোনো স্বপ্ন নাই,Sylhet
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,আমাার দুই চউক তুমারে ছাড়া আর কিচ্ছু খুঁজে না,Sylhet
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যেব্‌লাকু ফুড়ি বুঝে হেব্‌লাকু ফুয়ায় বুঝে না,Sylhet
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুমি খালি মোরে মনো রাকিও সারা বেলা,Sylhet
চোখের কান্না মুছে  দেব তোমায় হাসি,চকুর কান্দা মুছাইয়া দিমু তুমারে হাসি ,Sylhet
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,এরলাগি তো বন্দু তোমারে মুই অতো ভালাপাই,Sylhet
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","খত সুন্দর তুমি, পেরেমো পরছি মুই",Sylhet
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,ফুয়াইন্তে পিরিতর অভিনয় খরতে খরতে কুন সময় হাছা হাছা ভালা পাইলায় ইতা তারা নিজেও জানে না,Sylhet
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,ফুড়িন্তে হাছা হাছির ভালা পাইতে পাইতে কুন সময় যে অভিনয় শুরু লাগায় ইতা তারা নিজেও জানইন না,Sylhet
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,অউ দুনিয়াত ভালা লাগার মানুষরারে ছাড়া বাছিয়া থাকা কষ্টর কিন্তুক অসম্ভব কিচ্ছু নায়,Sylhet
কারো জন্য কারো জীবন থেমে থাকে না,খেউরু লাগি খেউরুর জীবন থামিয়া থাকে না,Sylhet
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,খেউররে খুব বেশি ভালাপাওয়ার মাঝে এখ ধরনর দুর্বলতা আছে,Sylhet
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","ফুয়া আর ফুড়ি বন্দু অইতে পারইন, কিন্তু তারা ঠিকউ এখজন আরোখ জনর পেরেমো ফরবা",Sylhet
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,ফুয়াইন্তর লাগি দুনিয়াত সব চাইতে দামী অইলো ফুড়িন্তর হাসি,Sylhet
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তুমারে  দুই চউক ভরিয়া দেখা এখনো বাকি,Sylhet
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তুমারে কান্দাত আইয়া জড়াইয়া ধরা বাকি,Sylhet
আমার অনেক ঠাণ্ডা লাগছে,মোর যে ঠান্ডা লাগের,Sylhet
আমার মন খারাপ,মোর মন খারাফ,Sylhet
আপনার কি মন খারাপ ?,আফনার কিতা মন খারাফ নি?,Sylhet
তোমার  কি মন খারাপ ?,তুমার  কিতা মন খারাফ নি?,Sylhet
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,Sylhet
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,মোর বন্দু মোর লাগি লাল শাড়ি কিনিয়া দিছে,Sylhet
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,মোর বন্দু মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,Sylhet
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,মোর আম্মায় মোরে লইয়া পার্কো গুরাত যাইবা,Sylhet
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর",যে পিরিত যত গুফন হউ পিরিত তত গভীর,Sylhet
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,ভালোবাসা ফাওয়ার চাইতে ভালোবাসা দেওয়াত অউ বেশি আনন্দ,Sylhet
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","তুমি যদি খেউরে ভালোবাসো,তাইলে তারে ছাড়ি দেও",Sylhet
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","যদি হে তুমার কাছে ফিরিয়া  আয়, তে হে তুমার অউ আছিল",Sylhet
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","আর যদি ফিরিয়া না  আয় , তে হে  কুনোদিন অউ তুমার  আছিল না",Sylhet
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",যেসময় কুনো বেটা কুনো বেটিরে ভালাপায় হেসময় তাইর লাগি হখলতা খরতো পারে,Sylhet
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,মুকুত হখল সময় ভালাপাই ভালাপাই কওয়ার থাকি মোর মনো অয় ভালাপাওয়া মানুষটারে বুঝাটা অনেখ বড় ব্যাপার,Sylhet
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,ভালা পাওয়া মানে এখজন আরোখ জনরে বুঝতে পারা,Sylhet
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,মুই  যে মানুষটারে ভালাপাইমু তারে যদি বুঝতাম না পারি তাইলে অউ পিরিতর কুনো অর্থ আছে খরি মনে অয় না,Sylhet
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অসুখী অইয়া অইন্যরে ভালোবাসিয়া সুখী খরা যায়না,Sylhet
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,খেউ আফনার জীবনো সুখ আনিয়া দিবো ভাবিয়া কারো লগে পেরেমো জড়াইবা না,Sylhet
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,আফনে কারুর জীবনো সুখ আনিয়া দিবা ভাবিয়া পেরেম করইন,Sylhet
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না","সত্তিকারর ভালোবাসা খালি ভালাপাওয়া মানুষটারে সুখী করতো চায়, তার থাকি কুনো প্রতিদান আশা করে না",Sylhet
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,পিরিতর  মানে খেউরে জিতি লাওয়া নায় বরঞ্চ নিজেউ কারো লাগি হারি যাওয়া,Sylhet
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,আফনে কুনোদিন অউ ফারতা না  অইন্য কারোর ভালোবাসারে ছিনাইয়া নিতা বা জুর খরি অইন্যর ভালা লাগার মানুষ অইতা,Sylhet
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চউকর সামনে যারারে দেখিয়ার তারারে আগামী কালকে সখালে আর দেখতাম পারমু কিনা এর কুনো নিশ্চয়তা নাই,Sylhet
ভালো লাগে তোমার ওই কাজল কালো চোখ,ভালা লাগে তুমার অউ কাজলর লাখান কালা চউক,Sylhet
তোমার মনের কথা আজ আমাকে খুলে বলো,তুমার মনর কথা আইজ মোরে খুলিয়া কউ,Sylhet
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","মোর হাত খান ধরিয়া সামনে আওগাইয়া যাও, আমরা আর পিছেদি ফিরিয়া দেখতাম নায়",Sylhet
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিমু আমি তুমার হাতো,Sylhet
এই মন আজ তোমায় দিলাম,অউ মন আজকে তুমারে দিলাম,Sylhet
তোমার ওই মন আমি নিয়ে নিলাম,তুমার অউ মন মুই নিলাম,Sylhet
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,হাজার মাতর মাঝে এখটা মাত লুকাইল থাকে,Sylhet
সব কথা মুখে বলে দেওয়া যায়না,সব মাত মুক দি কওয়া যায় না,Sylhet
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,হাজার মাতর মাঝে হউ এখটা মাত বুঝিয়া নেওয়া লাগে,Sylhet
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাছিয়া থাখমু তুমারে মনো রাখমু,Sylhet
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ","যতউ কষ্ট অউক সব মানিয়া নিমু,তবুও আজীবন তুমারেও ভালোবাসমু",Sylhet
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ",দেখো ছাইন খতো সুন্দর মিষ্টি চান্দর আলো,Sylhet
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ","ফুল দিয়া সাজাইয়া রাখছি আমার অউ মন, তুমি আইলে দুইজন মিলিয়া সাজাইমু জীবন",Sylhet
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,পড়াশোনা খরিয়া কিতা অইতো যদি তুমারে না পাওয়া যায়,Sylhet
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,ফুড়িন্তর পোস্ট অইলো মাছোর বাজার সব আইয়া ভিড় জমাইন,Sylhet
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,ফুয়াইন্তর পোস্ট অইলো সোনার দুকান এর লাগি খুব কম মাইনষে অনো আইন,Sylhet
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে",ফত্তেকদিন ঘুমাই যাওয়ার আগে ভাবি যাই অউক বিয়া খরার আরোখটা দিন আওগাইছে,Sylhet
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল","বিয়াত দামান পক্ষ দাবি করছিলা দুইটা সুনার জিনিস চাইন তারা , কইন্যা পক্ষ তাতেউ রাজি অই গেলা",Sylhet
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,এখনকু পেরেম ছাড়া মানুষ খুজিয়া পাওয়া মুশকিল,Sylhet
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিষ্টি মিষ্টি হাসিয়া মাতিয়া পাগল খরি দিলায় ,Sylhet
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তুমারে লইয়া হারাই যাইতাম আখাশর নীলো,Sylhet
চলোনা কিছু না মেনে ভালোবাসি,চলোনা কিচ্ছু না মানিয়া পিরিত খরি,Sylhet
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,চলো দুইজনে মিলিয়া সুখর পৃথিবী সাজাই,Sylhet
তোমাকে নিয়ে আমার সব কল্পনা,তুমারে লইয়া মোর হখল কল্পনা,Sylhet
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তুমারে  খইলজাত রাখমু হারা সময়,Sylhet
তুমি যদি চাও বৃষ্টি হবে আজ,তুমি যদি চাও তে মেগ অইবো আইজ,Sylhet
চল দুজনে হাত ধরে হারাবো,চল দুইজনে হাতো ধরিয়া হারাই যাই,Sylhet
তোমাকে ছুয়ে দিতে চাই অনুমতি,তুমারে ছুয়ার লাগি চাই অনুমতি,Sylhet
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,ওউ ছবির ফত্তেকটা গান বাক্কা ভালা লাগতো আর এখনো লাগে,Sylhet
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়","হাছাহাছির ভালোবাসা হারে না , মিছামিছিরটা হারি যায় ",Sylhet
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,অউ অইলো সোনালী যুগর হউ পুরানা গানটা যে গান হুনলে বুক ভরি যায়,Sylhet
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে","যতবার দেখি ততবার ভালা লাগে, মৌসুমীরে গান ইগুত সেই সুন্দর লাগছে",Sylhet
এখনো ভালো লাগে গানটা,এখন পর্যন্ত ভালা লাগে গানটা,Sylhet
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,কালা আর লাল শাড়ীত মৌসুমী আফারে সেই সুন্দরী লাগে,Sylhet
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা ,আমার ভালোবাসার মানুষটার কথা মনো পড়ি যায়,Sylhet
গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে,গান গুতা হুনলেউ পুরানা ইতিহাস মনো পড়ি যায়,Sylhet
